+-----+---------------------+-------------+----------+------------+
|     |        time         | temperature | humidity | wind_speed |
+-----+---------------------+-------------+----------+------------+
|  0  | 2025-01-18 00:00:00 |     9.7     |    60    |    8.3     |
|  1  | 2025-01-18 01:00:00 |     9.7     |    60    |    7.1     |
|  2  | 2025-01-18 02:00:00 |     9.7     |    62    |    4.3     |
|  3  | 2025-01-18 03:00:00 |     9.2     |    62    |    4.0     |
|  4  | 2025-01-18 04:00:00 |     9.1     |    62    |    5.1     |
|  5  | 2025-01-18 05:00:00 |     8.8     |    67    |    8.4     |
|  6  | 2025-01-18 06:00:00 |     8.7     |    71    |    10.8    |
|  7  | 2025-01-18 07:00:00 |     8.7     |    69    |    10.0    |
|  8  | 2025-01-18 08:00:00 |     9.1     |    67    |    8.7     |
|  9  | 2025-01-18 09:00:00 |     9.9     |    68    |    10.5    |
| 10  | 2025-01-18 10:00:00 |    10.7     |    64    |    11.4    |
| 11  | 2025-01-18 11:00:00 |    11.4     |    63    |    10.6    |
| 12  | 2025-01-18 12:00:00 |    12.5     |    62    |    9.1     |
| 13  | 2025-01-18 13:00:00 |    13.1     |    60    |    7.9     |
| 14  | 2025-01-18 14:00:00 |    13.4     |    59    |    7.2     |
| 15  | 2025-01-18 15:00:00 |    12.8     |    62    |    7.8     |
| 16  | 2025-01-18 16:00:00 |    11.8     |    66    |    6.8     |
| 17  | 2025-01-18 17:00:00 |    10.8     |    71    |    5.3     |
| 18  | 2025-01-18 18:00:00 |    10.2     |    72    |    5.9     |
| 19  | 2025-01-18 19:00:00 |     9.6     |    78    |    6.2     |
| 20  | 2025-01-18 20:00:00 |     9.1     |    76    |    6.0     |
| 21  | 2025-01-18 21:00:00 |     8.8     |    73    |    6.4     |
| 22  | 2025-01-18 22:00:00 |     8.3     |    72    |    6.3     |
| 23  | 2025-01-18 23:00:00 |     7.8     |    74    |    6.3     |
| 24  | 2025-01-19 00:00:00 |     7.4     |    75    |    6.6     |
| 25  | 2025-01-19 01:00:00 |     7.0     |    76    |    6.3     |
| 26  | 2025-01-19 02:00:00 |     6.7     |    77    |    6.4     |
| 27  | 2025-01-19 03:00:00 |     6.4     |    76    |    6.0     |
| 28  | 2025-01-19 04:00:00 |     6.2     |    77    |    5.8     |
