+-----+---------------------+-------------+----------+------------+
|     |        time         | temperature | humidity | wind_speed |
+-----+---------------------+-------------+----------+------------+
|  0  | 2025-01-18 00:00:00 |     2.1     |    79    |    12.8    |
|  1  | 2025-01-18 01:00:00 |     1.8     |    80    |    11.6    |
|  2  | 2025-01-18 02:00:00 |     1.8     |    79    |    12.1    |
|  3  | 2025-01-18 03:00:00 |     2.4     |    76    |    14.8    |
|  4  | 2025-01-18 04:00:00 |     2.1     |    77    |    14.3    |
|  5  | 2025-01-18 05:00:00 |     2.3     |    76    |    11.8    |
|  6  | 2025-01-18 06:00:00 |     2.5     |    74    |    8.1     |
|  7  | 2025-01-18 07:00:00 |     2.9     |    72    |    7.2     |
|  8  | 2025-01-18 08:00:00 |     4.2     |    69    |    8.9     |
|  9  | 2025-01-18 09:00:00 |     6.4     |    62    |    14.8    |
| 10  | 2025-01-18 10:00:00 |     7.6     |    59    |    20.6    |
| 11  | 2025-01-18 11:00:00 |     8.9     |    57    |    17.8    |
| 12  | 2025-01-18 12:00:00 |    10.6     |    55    |    17.6    |
| 13  | 2025-01-18 13:00:00 |    10.9     |    54    |    20.7    |
| 14  | 2025-01-18 14:00:00 |    10.2     |    57    |    17.6    |
| 15  | 2025-01-18 15:00:00 |     9.0     |    63    |    12.2    |
| 16  | 2025-01-18 16:00:00 |     8.0     |    66    |    12.0    |
| 17  | 2025-01-18 17:00:00 |     7.2     |    69    |    11.7    |
| 18  | 2025-01-18 18:00:00 |     6.7     |    70    |    12.5    |
| 19  | 2025-01-18 19:00:00 |     6.0     |    72    |    13.5    |
| 20  | 2025-01-18 20:00:00 |     5.6     |    73    |    14.8    |
| 21  | 2025-01-18 21:00:00 |     5.6     |    72    |    12.2    |
| 22  | 2025-01-18 22:00:00 |     4.8     |    74    |    12.5    |
| 23  | 2025-01-18 23:00:00 |     4.2     |    72    |    14.6    |
| 24  | 2025-01-19 00:00:00 |     3.6     |    67    |    17.6    |
| 25  | 2025-01-19 01:00:00 |     2.8     |    64    |    20.6    |
| 26  | 2025-01-19 02:00:00 |     2.0     |    67    |    20.5    |
| 27  | 2025-01-19 03:00:00 |     1.5     |    69    |    20.0    |
| 28  | 2025-01-19 04:00:00 |     1.0     |    72    |    20.0    |
| 29  | 2025-01-19 05:00:00 |     0.6     |    75    |    20.1    |
| 30  | 2025-01-19 06:00:00 |     0.3     |    80    |    21.0    |
| 31  | 2025-01-19 07:00:00 |     0.4     |    80    |    20.6    |
| 32  | 2025-01-19 08:00:00 |     1.4     |    75    |    20.0    |
| 33  | 2025-01-19 09:00:00 |     2.7     |    68    |    20.5    |
| 34  | 2025-01-19 10:00:00 |     4.1     |    62    |    21.1    |
| 35  | 2025-01-19 11:00:00 |     5.2     |    57    |    19.6    |
| 36  | 2025-01-19 12:00:00 |     6.0     |    53    |    17.9    |
| 37  | 2025-01-19 13:00:00 |     6.3     |    51    |    15.9    |
| 38  | 2025-01-19 14:00:00 |     5.8     |    53    |    12.4    |
| 39  | 2025-01-19 15:00:00 |     4.5     |    59    |    8.2     |
| 40  | 2025-01-19 16:00:00 |     3.6     |    62    |    6.4     |
| 41  | 2025-01-19 17:00:00 |     2.9     |    65    |    5.4     |
| 42  | 2025-01-19 18:00:00 |     2.3     |    69    |    4.3     |
| 43  | 2025-01-19 19:00:00 |     1.7     |    73    |    3.7     |
| 44  | 2025-01-19 20:00:00 |     1.3     |    77    |    2.7     |
| 45  | 2025-01-19 21:00:00 |     0.8     |    81    |    2.4     |
| 46  | 2025-01-19 22:00:00 |     0.3     |    84    |    2.4     |
| 47  | 2025-01-19 23:00:00 |    -0.2     |    87    |    2.6     |
